University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Katholieke Universiteit Leuven,Belgium,katholieke universiteit leuven,https://openalex.org/I99464096,KU Leuven,NA,BE,Belgium,TRUE,
Kazan (Volga region) Federal University,Russia,kazan (volga region) federal university,https://openalex.org/I21203515,Kazan Federal University,NA,RU,Russia,TRUE,
Kocaeli University,Turkey,kocaeli university,https://openalex.org/I4210096598,Kocaeli Üniversitesi Araştırma ve Uygulama Hastanesi,NA,TR,Turkey,TRUE,
Korea University,South Korea,korea university,https://openalex.org/I4210161052,Korea University,[],JP,Japan,FALSE,
KTH Royal Institute of Technology,Sweden,kth royal institute of technology,https://openalex.org/I86987016,Royal Institute of Technology,NA,SE,Sweden,TRUE,
Masaryk University,Czech Republic,masaryk university,https://openalex.org/I21449261,Masaryk University,"[""Masarykova univerzita""]",CZ,Czechia,TRUE,
Medical University of Gdańsk,Poland,medical university of gdansk,https://openalex.org/I75124487,Gdańsk Medical University,NA,PL,Poland,TRUE,
Medical University of Innsbruck,Austria,medical university of innsbruck,https://openalex.org/I143397708,Innsbruck Medical University,NA,AT,Austria,TRUE,
National Chiao Tung University,Taiwan,national chiao tung university,https://openalex.org/I148366613,National Yang Ming Chiao Tung University,NA,TW,Taiwan,TRUE,
National Distance Education University,Spain,national distance education university,https://openalex.org/I178450904,National University of Distance Education,NA,ES,Spain,TRUE,
"National Polytechnic Institute, Mexico",Mexico,national polytechnic institute mexico,https://openalex.org/I59361560,Instituto Politécnico Nacional,NA,MX,Mexico,TRUE,
National Research Nuclear University MEPhI,Russia,national research nuclear university mephi,https://openalex.org/I887846188,Moscow Engineering Physics Institute,NA,RU,Russia,TRUE,
National Research Tomsk Polytechnic University,Russia,national research tomsk polytechnic university,https://openalex.org/I30849647,Tomsk Polytechnic University,NA,RU,Russia,TRUE,
"National University of Sciences and Technology, Islamabad",Pakistan,national university of sciences and technology islamabad,https://openalex.org/I929597975,National University of Sciences and Technology,NA,PK,Pakistan,TRUE,
National Yang-Ming University,Taiwan,national yang-ming university,https://openalex.org/I96323854,National Yang-Ming University,[],TW,Taiwan,TRUE,
Nicolaus Copernicus University in Toruń,Poland,nicolaus copernicus university in torun,https://openalex.org/I119233137,Nicolaus Copernicus University in Toruń,[],PL,Poland,TRUE,
Northeastern University,China,northeastern university,https://openalex.org/I9224756,Northeastern University,[],CN,China,FALSE,This is already in the successful set
"Northeastern University, USA",United States,northeastern university usa,https://openalex.org/I12912129,Northeastern University,NA,US,United States,TRUE,
Northwest Agriculture & Forestry University,China,northwest agriculture and forestry university,https://openalex.org/I4210088176,North West Agriculture and Forestry University,NA,CN,China,TRUE,
Northwest University,China,northwest university,https://openalex.org/I36819085,Northwest University,[],US,United States,FALSE,
Northwestern University,United States,northwestern university,https://openalex.org/I4210100400,Northwestern University,"[""Northwestern University Laoag City""]",PH,Philippines,FALSE,
Ohio State University,United States,ohio state university,https://openalex.org/I52357470,The Ohio State University,NA,US,United States,TRUE,
"Oklahoma State University, Stillwater",United States,oklahoma state university stillwater,https://openalex.org/I115475287,Oklahoma State University,NA,US,United States,TRUE,
Otto von Guericke University Magdeburg,Germany,otto von guericke university magdeburg,https://openalex.org/I95793202,Otto-von-Guericke University Magdeburg,NA,DE,Germany,TRUE,
Paderborn University,Germany,paderborn university,https://openalex.org/I206945453,University of Paderborn,NA,DE,Germany,TRUE,
Palacký University Olomouc,Czech Republic,palacky university olomouc,https://openalex.org/I70703428,"Palacký University, Olomouc","[""Univerzita Palack\u00e9ho v Olomouci""]",CZ,Czechia,TRUE,
Peking Union Medical College,China,peking union medical college,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,NA,CN,China,TRUE,
Philipps-Universität Marburg,Germany,philipps-universitat marburg,https://openalex.org/I161103922,Philipp University of Marburg,NA,DE,Germany,TRUE,
Politecnico di Bari,Italy,politecnico di bari,https://openalex.org/I68618741,Polytechnic University of Bari,NA,IT,Italy,TRUE,
Politecnico di Torino,Italy,politecnico di torino,https://openalex.org/I4210142780,Turin Polytechnic University,NA,IT,Italy,TRUE,
Postgraduate Institute of Medical Education & Research,India,postgraduate institute of medical education and research,https://openalex.org/I45294948,Post Graduate Institute of Medical Education and Research,NA,IN,India,TRUE,
Poznań University of Life Sciences,Poland,poznan university of life sciences,https://openalex.org/I55783418,University of Life Sciences in Poznań,NA,PL,Poland,TRUE,
