id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V2764828630,2281-6658,null,NA,2281-6658,CoSMo | Comparative Studies in Modernism,CoSMO,NA,Università degli Studi di Torino
https://openalex.org/V4210194222,1133-8571,"[""2660-7697"", ""1133-8571""]",1133-8571,2660-7697,Al-Andalus Magreb,Al-Andalus Magreb,NA,Editorial UCA
https://openalex.org/V4210224724,2682-7786,"[""2682-7786""]",NA,2682-7786,Big Data In Agriculture,Big Data in Agriculture,ZIbeline International Publishing,Zibeline International Publishing
https://openalex.org/V4210226100,2788-712X,"[""2788-712X""]",NA,2788-712X,Iraqi journal of industrial research,Iraqi Journal of Industrial Research,Corporation of Research and Industrial Development,Corporation of Research and Industrial Development
https://openalex.org/V4210206450,1028-8708,"[""1028-8708""]",1028-8708,NA,Jiàoyù yánjiū jíkān,Bulletin of Educational Research,"Angle Publishing Co., Ltd.",Naitonal Taiwan Normal University
https://openalex.org/V4210238345,2686-5823,"[""2686-5823"", ""2722-1466""]",2722-1466,2686-5823,Mathema,Mathema,Universitas Teknokrat Indonesia,Universitas Teknokrat Indonesia
https://openalex.org/V995110908,1934-5275,null,NA,1934-5275,Language Documentation & Conservation,Language Documentation & Conservation,NA,University of Hawai‘i Press
https://openalex.org/V2736367431,2049-3509,null,2055-6314,2049-3509,Economic Thought,Economic Thought,NA,World Economics Association
https://openalex.org/V2736440680,1579-7805,null,1579-7805,2386-3811,Andelma,Andelma,NA,Centro de Estudios Históricos Fray Pasqual Salmerón
https://openalex.org/V2736525950,1811-3095,null,1811-3095,NA,Technology Law Review,Kējì Fǎxué Pínglùn,NA,National Chiao Tung University
https://openalex.org/V2736551642,2224-2643,null,NA,2224-2643,Didasc@lia: Didáctica y Educación,Didasc@lia: didáctica y educación,NA,Universidad de Las Tunas
https://openalex.org/V2736622549,2147-8988,null,2147-8988,NA,International Journal of Food and Agricultural Economics,International Journal of Food and Agricultural Economics,NA,International Journal of Food and Agricultural Economics
